t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,iv,preiv,delta,gamma,theta,vega,rho,volume,openinterest,start_date_forward_price,option_id,comment
2008-01-24 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,22.65,21.85,21.4,22.0,21.4,22.25,0.243716,0.243716,0.610697,0.007625,-0.014435,0.845519,1.520892,12,1316,134.99,,
2008-01-24 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,25.25,24.5,24.0,24.0,24.0,24.875,0.24968,0.24968,0.647494,0.007282,-0.014624,0.823316,1.549207,5,53,134.99,,
2008-01-25 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,21.5,20.65,,,,21.075,0.241531,0.241531,0.598262,0.007845,-0.01432,0.842722,1.49831,0,1317,134.99,,
2008-01-25 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,24.05,23.2,25.3,25.3,25.3,23.625,0.247371,0.247371,0.635831,0.007511,-0.014543,0.82018,1.53151,10,48,134.99,,
2008-01-28 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,22.55,21.85,21.8,21.95,21.8,22.2,0.239877,0.239877,0.613594,0.007698,-0.01449,0.842474,1.548802,11,1308,134.99,,
2008-01-28 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,25.2,24.5,24.73,24.73,24.73,24.85,0.245889,0.245889,0.65064,0.007337,-0.014678,0.819898,1.578925,1,58,134.99,,
2008-01-29 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,23.05,22.5,22.4,22.55,21.8,22.775,0.240842,0.240842,0.619996,0.007579,-0.01468,0.840891,1.573156,294,1315,134.99,,
2008-01-29 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,25.75,25.2,,,,25.475,0.247153,0.247153,0.65655,0.007204,-0.01486,0.818016,1.600593,0,59,134.99,,
2008-01-30 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,22.4,21.75,22.7,22.7,22.0,22.075,0.23942,0.23942,0.612768,0.007718,-0.014562,0.840384,1.554479,3,1449,134.99,,
2008-01-30 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,25.15,24.25,,,,24.7,0.245225,0.245225,0.649838,0.007361,-0.014748,0.817401,1.585376,0,59,134.99,,
2008-01-31 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,23.55,22.75,21.1,23.2,21.1,23.15,0.236932,0.236932,0.627583,0.007606,-0.014583,0.843359,1.600097,23,1334,134.99,,
2008-01-31 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,26.2,25.45,,,,25.825,0.242208,0.242208,0.664235,0.007241,-0.014704,0.819844,1.630659,0,59,134.99,,
2008-02-01 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,24.6,24.15,23.7,24.5,23.1,24.375,0.236415,0.236415,0.641886,0.007426,-0.014675,0.852435,1.643869,20,1334,134.99,,
2008-02-01 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,27.4,26.9,26.4,26.4,26.4,27.15,0.242085,0.242085,0.677866,0.007041,-0.014777,0.822424,1.669784,10,59,134.99,,
2008-02-04 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,23.9,23.6,24.25,24.25,23.8,23.75,0.241702,0.241702,0.631043,0.007435,-0.014813,0.849355,1.595298,303,1350,134.99,,
2008-02-04 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,26.65,26.1,26.45,26.45,26.45,26.375,0.246349,0.246349,0.666914,0.007096,-0.014896,0.819098,1.622012,1,69,134.99,,
2008-02-05 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,21.8,21.1,22.0,22.26,21.65,21.45,0.243377,0.243377,0.601679,0.007785,-0.014331,0.841604,1.476359,2107,1300,134.99,,
2008-02-05 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,24.4,23.65,,,,24.025,0.249213,0.249213,0.639032,0.00745,-0.014535,0.819742,1.50986,0,70,134.99,,
2008-02-06 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,21.3,20.7,21.5,22.02,20.85,21.0,0.245346,0.245346,0.59478,0.007821,-0.014335,0.840018,1.450052,37,2824,134.99,,
2008-02-06 00:00:00.0,CYYLZ,2010-12-18 00:00:00.0,130.0,C,CBOE,A,23.85,23.25,,,,23.55,0.251422,0.251422,0.632264,0.007491,-0.014565,0.818169,1.484007,0,70,134.99,,
2008-02-07 00:00:00.0,CYYLE,2010-12-18 00:00:00.0,135.0,C,CBOE,A,22.05,21.4,20.73,21.3,20.73,21.724998,0.248158,0.248158,0.601744,0.007653,-0.014512,0.839465,1.461192,12,2850,134.99,,
