t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2020-01-24 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,38.01,36.09,37.92,37.92,37.92,37.05,5,4576,328.63,107695125,
2020-01-24 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,35.32,35.0,36.56,36.6,35.06,35.16,111,2391,328.63,107695127,
2020-01-27 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,34.84,33.39,32.14,35.23,32.14,34.114998,340,4571,328.63,107695125,
2020-01-27 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,32.29,30.82,31.62,32.61,31.62,31.555,122,2470,328.63,107695127,
2020-01-28 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,36.87,35.39,35.61,36.87,35.5,36.129997,97,4899,328.63,107695125,
2020-01-28 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,34.23,32.77,32.9,34.27,32.9,33.5,17,2582,328.63,107695127,
2020-01-29 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,36.53,35.0,,,,35.765,0,4993,328.63,107695125,
2020-01-29 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,34.25,32.56,33.78,33.87,33.24,33.405,187,2597,328.63,107695127,
2020-01-30 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,37.3,35.2,35.26,35.74,34.2,36.25,42,4993,328.63,107695125,
2020-01-30 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,34.62,32.56,31.87,32.51,31.87,33.59,55,2782,328.63,107695127,
2020-01-31 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,33.74,31.52,35.32,35.32,32.42,32.63,59,5034,328.63,107695125,
2020-01-31 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,31.19,28.67,31.5,31.5,30.5,29.93,3,2787,328.63,107695127,
2020-02-03 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,34.19,32.67,34.4,34.61,34.4,33.43,50,5087,328.63,107695125,
2020-02-03 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,31.64,31.0,31.38,31.81,31.38,31.32,8,2790,328.63,107695127,
2020-02-04 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,38.41,35.15,35.25,37.16,35.25,36.78,2,5134,328.63,107695125,
2020-02-04 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,34.86,33.32,34.16,34.16,34.16,34.09,10,2790,328.63,107695127,
2020-02-05 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,40.33,37.72,37.94,37.94,37.94,39.025,1,5134,328.63,107695125,
2020-02-05 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,37.5,34.93,35.71,36.73,35.04,36.215,148,2780,328.63,107695127,
2020-02-06 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,40.48,38.81,39.8,39.8,39.25,39.645,202,5135,328.63,107695125,
2020-02-06 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,37.63,35.99,36.85,37.05,36.79,36.81,9,2924,328.63,107695127,
2020-02-07 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,39.66,37.38,39.31,39.31,39.31,38.52,4,4935,328.63,107695125,
2020-02-07 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,36.84,34.61,36.93,36.96,36.04,35.725,14,2931,328.63,107695127,
2020-02-10 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,40.95,39.23,,,,40.09,0,4939,328.63,107695125,
2020-02-10 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,38.7,35.57,36.81,37.33,36.45,37.135002,18,2944,328.63,107695127,
2020-02-11 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,41.62,39.59,41.07,41.14,41.07,40.605,30,4939,328.63,107695125,
2020-02-11 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,38.96,36.07,39.22,39.22,38.54,37.515,10,2960,328.63,107695127,
2020-02-12 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,42.7,40.38,,,,41.54,0,4937,328.63,107695125,
2020-02-12 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,40.05,38.36,38.55,38.55,38.55,39.205,1,2968,328.63,107695127,
2020-02-13 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,42.7,40.2,40.82,40.82,40.82,41.45,2,4937,328.63,107695125,
2020-02-13 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,39.9,38.19,39.4,39.4,38.46,39.045,211,2967,328.63,107695127,
2020-02-14 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,42.7,40.04,42.0,42.0,42.0,41.370003,1,4935,328.63,107695125,
2020-02-14 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,40.04,38.02,38.22,38.92,38.0,39.03,65,2788,328.63,107695127,
2020-02-18 00:00:00.0,SPY   221216C00325000,2022-12-16 00:00:00.0,325.0,C,CBOE,A,41.96,40.57,39.46,40.0,39.46,41.265,5,4936,328.63,107695125,
2020-02-18 00:00:00.0,SPY   221216C00330000,2022-12-16 00:00:00.0,330.0,C,CBOE,A,39.09,37.75,37.85,37.85,37.85,38.42,4,2731,328.63,107695127,
