t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,iv,preiv,delta,gamma,theta,vega,rho,volume,openinterest,start_date_forward_price,option_id,comment
2006-01-24 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.7,9.4,9.5,9.5,9.5,9.549999,0.187402,0.187402,-0.35467,0.012723,-0.002761,0.738374,-0.772287,1,81,126.58,,
2006-01-24 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.7,11.3,,,,11.5,0.182342,0.182342,-0.423813,0.015032,-0.002538,0.759606,-0.80903,0,4,126.58,,
2006-01-25 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.6,9.3,,,,9.450001,0.186098,0.186098,-0.354781,0.012861,-0.002723,0.737417,-0.767028,0,81,126.58,,
2006-01-25 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.6,11.3,,,,11.450001,0.18172,0.18172,-0.424391,0.015136,-0.002516,0.758628,-0.805812,0,4,126.58,,
2006-01-26 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.2,9.0,,,,9.1,0.185152,0.185152,-0.344552,0.012587,-0.002715,0.735216,-0.760584,0,81,126.58,,
2006-01-26 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.1,10.8,,,,10.950001,0.179502,0.179502,-0.413449,0.015014,-0.002499,0.76004,-0.798023,0,4,126.58,,
2006-01-27 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.8,8.5,,,,8.65,0.185169,0.185169,-0.329386,0.012112,-0.002705,0.731795,-0.744129,0,79,126.58,,
2006-01-27 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.6,10.3,,,,10.450001,0.179848,0.179848,-0.395938,0.014447,-0.002522,0.758793,-0.792394,0,4,126.58,,
2006-01-30 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.6,8.4,8.4,8.4,8.4,8.5,0.183498,0.183498,-0.329703,0.012357,-0.002632,0.728064,-0.733311,3,79,126.58,,
2006-01-30 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.6,10.2,10.4,10.5,10.4,10.4,0.179537,0.179537,-0.397275,0.014639,-0.002484,0.756677,-0.78141,46,4,126.58,,
2006-01-31 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.0,8.7,8.7,8.7,8.7,8.85,0.185333,0.185333,-0.338243,0.012505,-0.002675,0.730081,-0.743341,4,78,126.58,,
2006-01-31 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.8,10.5,,,,10.65,0.179451,0.179451,-0.406836,0.014993,-0.00246,0.756246,-0.780623,0,47,126.58,,
2006-02-01 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.8,8.6,8.7,8.7,8.7,8.700001,0.185644,0.185644,-0.332876,0.012329,-0.002671,0.728028,-0.736901,1,82,126.58,,
2006-02-01 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.7,10.4,,,,10.549999,0.180775,0.180775,-0.400362,0.014677,-0.002493,0.755639,-0.779702,0,47,126.58,,
2006-02-02 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.3,9.0,8.7,9.1,8.7,9.15,0.185773,0.185773,-0.349295,0.012915,-0.002655,0.730813,-0.743132,17,83,126.58,,
2006-02-02 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.2,10.9,,,,11.049999,0.180464,0.180464,-0.41968,0.015382,-0.00242,0.752342,-0.779973,0,47,126.58,,
2006-02-03 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.6,9.1,9.3,9.3,9.3,9.35,0.186124,0.186124,-0.35676,0.013195,-0.002628,0.730341,-0.742869,10,100,126.58,,
2006-02-03 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.6,11.1,,,,11.35,0.181582,0.181582,-0.428337,0.015597,-0.002383,0.746853,-0.78219,0,47,126.58,,
2006-02-06 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.4,9.1,,,,9.25,0.186372,0.186372,-0.353225,0.013078,-0.002641,0.72894,-0.738669,0,110,126.58,,
2006-02-06 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.3,11.0,,,,11.15,0.180749,0.180749,-0.424639,0.015607,-0.002376,0.746978,-0.775264,0,47,126.58,,
2006-02-07 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.8,9.5,,,,9.65,0.187187,0.187187,-0.365962,0.013445,-0.002628,0.728742,-0.746269,0,110,126.58,,
2006-02-07 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.8,11.5,,,,11.65,0.181823,0.181823,-0.439667,0.01601,-0.002356,0.736573,-0.784597,0,47,126.58,,
2006-02-08 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.4,9.1,9.5,9.5,9.5,9.25,0.186971,0.186971,-0.35193,0.012982,-0.002665,0.72856,-0.738809,2,110,126.58,,
2006-02-08 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.3,11.0,,,,11.15,0.181438,0.181438,-0.422739,0.015474,-0.002411,0.747946,-0.775016,0,47,126.58,,
2006-02-09 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.3,9.1,8.9,8.9,8.9,9.200001,0.18502,0.18502,-0.355276,0.013287,-0.002607,0.727638,-0.734483,1,110,126.58,,
2006-02-09 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.3,11.0,11.0,11.0,11.0,11.15,0.17993,0.17993,-0.427703,0.01581,-0.002347,0.74408,-0.772974,6,47,126.58,,
2006-02-10 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.2,9.0,9.5,9.5,9.4,9.1,0.185873,0.185873,-0.34991,0.013042,-0.002635,0.726899,-0.73199,696,110,126.58,,
2006-02-10 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.2,10.9,,,,11.049999,0.181178,0.181178,-0.420754,0.015473,-0.002407,0.74746,-0.770551,0,53,126.58,,
2006-02-13 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.4,9.1,9.26,9.26,9.26,9.25,0.18654,0.18654,-0.354554,0.013175,-0.002639,0.7262,-0.732494,20,806,126.58,,
2006-02-13 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,11.4,11.0,,,,11.2,0.181479,0.181479,-0.42629,0.015656,-0.002382,0.743432,-0.770587,0,53,126.58,,
2006-02-14 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.9,8.7,9.0,9.0,8.8,8.799999,0.186486,0.186486,-0.338132,0.012593,-0.002672,0.723692,-0.726318,23,826,126.58,,
2006-02-14 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.9,10.5,,,,10.7,0.181926,0.181926,-0.40675,0.014954,-0.002486,0.749906,-0.766228,0,53,126.58,,
2006-02-15 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.8,8.5,,,,8.65,0.186973,0.186973,-0.332301,0.012382,-0.002674,0.721563,-0.720861,0,847,126.58,,
2006-02-15 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.6,10.3,,,,10.450001,0.181459,0.181459,-0.40018,0.014833,-0.002475,0.748954,-0.759684,0,53,126.58,,
2006-02-16 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.4,8.1,,,,8.25,0.185687,0.185687,-0.320646,0.012072,-0.002655,0.717784,-0.707134,0,845,126.58,,
2006-02-16 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.2,10.1,10.45,10.45,10.1,10.15,0.182305,0.182305,-0.3868,0.014257,-0.00253,0.748244,-0.763513,10,53,126.58,,
2006-02-17 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.6,8.2,,,,8.4,0.186402,0.186402,-0.324658,0.012157,-0.002671,0.719389,-0.712446,0,845,126.58,,
2006-02-17 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.3,10.0,,,,10.15,0.180721,0.180721,-0.391572,0.014608,-0.002483,0.747994,-0.757136,0,67,126.58,,
2006-02-21 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.6,8.3,,,,8.450001,0.185913,0.185913,-0.328372,0.01236,-0.002661,0.718356,-0.711751,0,845,126.58,,
2006-02-21 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.4,10.1,,,,10.25,0.180673,0.180673,-0.396201,0.014807,-0.002477,0.746872,-0.753575,0,67,126.58,,
2006-02-22 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.2,7.9,8.1,8.1,8.1,8.05,0.184499,0.184499,-0.316763,0.012064,-0.00264,0.713508,-0.696874,100,845,126.58,,
2006-02-22 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.0,9.7,9.9,9.9,9.9,9.85,0.180097,0.180097,-0.383153,0.014392,-0.002491,0.745186,-0.752731,50,67,126.58,,
2006-02-23 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.4,8.1,,,,8.25,0.185635,0.185635,-0.321784,0.012146,-0.002667,0.716481,-0.703794,0,945,126.58,,
2006-02-23 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.2,9.9,9.7,10.1,9.7,10.049999,0.180823,0.180823,-0.388566,0.014513,-0.002503,0.745775,-0.75438,95,117,126.58,,
2006-02-24 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.3,8.0,8.3,8.3,8.2,8.15,0.185076,0.185076,-0.319429,0.012114,-0.002658,0.714041,-0.699674,170,945,126.58,,
2006-02-24 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.1,9.8,10.08,10.1,10.08,9.950001,0.180453,0.180453,-0.386065,0.014464,-0.002501,0.745119,-0.753048,70,188,126.58,,
2006-02-27 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.1,8.0,,,,8.05,0.185218,0.185218,-0.316203,0.012025,-0.002659,0.711568,-0.693202,0,1115,126.58,,
2006-02-27 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.9,9.8,9.9,9.9,9.8,9.85,0.180846,0.180846,-0.382369,0.014335,-0.00251,0.74327,-0.749624,22,258,126.58,,
2006-02-28 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.7,8.4,8.5,8.5,8.5,8.549999,0.186626,0.186626,-0.331807,0.012474,-0.002681,0.716762,-0.709911,55,1115,126.58,,
2006-02-28 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.6,10.3,10.1,10.42,10.1,10.450001,0.182486,0.182486,-0.399882,0.014799,-0.002518,0.744746,-0.752701,91,270,126.58,,
2006-03-01 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.3,8.1,8.3,8.3,8.3,8.200001,0.18703,0.18703,-0.317892,0.011937,-0.002712,0.712876,-0.6975,100,1170,126.58,,
2006-03-01 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.1,9.9,10.1,10.1,9.9,10.0,0.182484,0.182484,-0.383495,0.014206,-0.002554,0.743274,-0.753692,115,289,126.58,,
2006-03-02 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.4,8.1,8.3,8.3,8.3,8.25,0.186965,0.186965,-0.320056,0.012022,-0.002709,0.713031,-0.699029,5,1193,126.58,,
2006-03-02 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.2,10.0,,,,10.1,0.182926,0.182926,-0.386033,0.014255,-0.002564,0.743426,-0.754803,0,869,126.58,,
2006-03-03 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.5,8.3,8.4,8.5,8.4,8.4,0.187136,0.187136,-0.325377,0.0122,-0.002707,0.715047,-0.70443,389,1196,126.58,,
2006-03-03 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.3,10.1,,,,10.200001,0.182048,0.182048,-0.392408,0.014587,-0.002532,0.74352,-0.750709,0,752,126.58,,
2006-03-06 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.8,8.5,,,,8.65,0.188089,0.188089,-0.333086,0.012427,-0.002724,0.71554,-0.709835,0,1551,126.58,,
2006-03-06 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.7,10.4,,,,10.549999,0.183827,0.183827,-0.40089,0.014733,-0.002557,0.743017,-0.751939,0,752,126.58,,
2006-03-07 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.9,8.6,8.7,8.9,8.7,8.75,0.188111,0.188111,-0.33687,0.012566,-0.002724,0.716078,-0.711311,11,1551,126.58,,
2006-03-07 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.8,10.6,,,,10.700001,0.18427,0.18427,-0.405176,0.014839,-0.002558,0.742758,-0.752777,0,752,126.58,,
2006-03-08 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.8,8.6,,,,8.700001,0.189563,0.189563,-0.33255,0.012333,-0.002745,0.714509,-0.708279,0,1562,126.58,,
2006-03-08 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.7,10.4,,,,10.549999,0.184636,0.184636,-0.399996,0.014686,-0.002561,0.74173,-0.748351,0,752,126.58,,
2006-03-09 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,9.0,8.8,8.7,8.7,8.7,8.9,0.188883,0.188883,-0.342351,0.012788,-0.002702,0.715302,-0.706439,250,1562,126.58,,
2006-03-09 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.9,10.7,,,,10.799999,0.183985,0.183985,-0.411967,0.015218,-0.002486,0.739243,-0.74383,0,752,126.58,,
2006-03-10 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.6,8.4,,,,8.5,0.188729,0.188729,-0.327795,0.012259,-0.002724,0.712216,-0.700398,0,1557,126.58,,
2006-03-10 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.5,10.3,,,,10.4,0.184814,0.184814,-0.394775,0.014512,-0.002574,0.74082,-0.746423,0,752,126.58,,
2006-03-13 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.4,8.2,8.4,8.4,8.3,8.299999,0.187335,0.187335,-0.32404,0.012252,-0.002699,0.710011,-0.69228,40,1557,126.58,,
2006-03-13 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,10.3,10.0,10.3,10.3,10.3,10.15,0.183015,0.183015,-0.391226,0.014585,-0.002544,0.739187,-0.740097,40,752,126.58,,
2006-03-14 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,8.0,7.7,,,,7.85,0.18699,0.18699,-0.307767,0.011701,-0.002724,0.704717,-0.675477,0,1577,126.58,,
2006-03-14 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.7,9.5,,,,9.6,0.182613,0.182613,-0.371983,0.01391,-0.002566,0.7378,-0.734349,0,786,126.58,,
2006-03-15 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.8,7.5,7.8,7.8,7.8,7.65,0.186966,0.186966,-0.300833,0.011485,-0.002723,0.702239,-0.66685,1,1577,126.58,,
2006-03-15 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.5,9.2,,,,9.35,0.182455,0.182455,-0.363703,0.013667,-0.002567,0.738089,-0.724851,0,786,126.58,,
2006-03-16 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.7,7.4,,,,7.55,0.186025,0.186025,-0.298112,0.011407,-0.002742,0.70236,-0.666998,0,1578,126.58,,
2006-03-16 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.4,9.0,9.3,9.3,9.3,9.2,0.181061,0.181061,-0.36047,0.013623,-0.002584,0.739857,-0.723489,15,786,126.58,,
2006-03-17 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.7,7.4,7.6,7.6,7.6,7.55,0.184256,0.184256,-0.302074,0.011697,-0.002691,0.702172,-0.665994,1,1578,126.58,,
2006-03-17 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.3,9.1,,,,9.200001,0.179015,0.179015,-0.366151,0.014026,-0.00251,0.737142,-0.723218,0,794,126.58,,
2006-03-20 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.7,7.5,,,,7.6,0.183367,0.183367,-0.305024,0.011817,-0.002715,0.703444,-0.670846,0,1579,126.58,,
2006-03-20 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.4,9.1,9.5,9.5,9.3,9.25,0.177923,0.177923,-0.369737,0.014181,-0.002524,0.737815,-0.727595,37,794,126.58,,
2006-03-21 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.9,7.6,,,,7.75,0.181975,0.181975,-0.314248,0.012275,-0.002658,0.70431,-0.674855,0,1579,126.58,,
2006-03-21 00:00:00.0,CYYXZ,2008-12-20 00:00:00.0,130.0,P,CBOE,A,9.6,9.4,9.4,9.4,9.4,9.5,0.177127,0.177127,-0.381891,0.014736,-0.002491,0.73606,-0.731992,6,821,126.58,,
2006-03-22 00:00:00.0,CYYXU,2008-12-20 00:00:00.0,125.0,P,CBOE,A,7.6,7.4,,,,7.5,0.181659,0.181659,-0.30491,0.011948,-0.002684,0.702392,-0.667323,0,1579,126.58,,
