t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,volume,openinterest,start_date_forward_price,option_id,comment
2016-01-22 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.4,28.09,28.96,28.96,28.96,28.744999,2,425,190.39,100025120,
2016-01-22 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,31.91,30.5,,,,31.205,0,547,190.39,100025122,
2016-01-25 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,30.67,29.18,29.3,29.3,29.3,29.925,2,427,190.39,100025120,
2016-01-25 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,33.3,31.65,,,,32.475,0,547,190.39,100025122,
2016-01-26 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.5,28.08,28.78,28.84,28.78,28.79,690,427,190.39,100025120,
2016-01-26 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.05,30.49,31.24,31.24,31.23,31.27,80,547,190.39,100025122,
2016-01-27 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,30.32,28.67,28.55,29.7,28.29,29.494999,197,1117,190.39,100025120,
2016-01-27 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.94,31.12,30.6,30.6,30.6,32.03,3,547,190.39,100025122,
2016-01-28 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.96,28.24,29.49,29.8,29.49,29.099998,2,1244,190.39,100025120,
2016-01-28 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.56,30.73,31.52,31.52,31.52,31.645,1,547,190.39,100025122,
2016-01-29 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,28.01,26.35,28.24,28.24,27.64,27.18,5,1244,190.39,100025120,
2016-01-29 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,30.44,28.66,30.5,30.5,30.0,29.55,6,546,190.39,100025122,
2016-02-01 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,27.42,26.27,27.78,27.78,27.31,26.845001,13,1247,190.39,100025120,
2016-02-01 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,29.83,28.57,,,,29.2,0,550,190.39,100025122,
2016-02-02 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.44,27.8,28.25,28.85,28.25,28.619999,7,1247,190.39,100025120,
2016-02-02 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.03,30.32,31.6,31.6,31.6,31.175,2,550,190.39,100025122,
2016-02-03 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.39,27.68,30.0,30.0,30.0,28.535,1,1252,190.39,100025120,
2016-02-03 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,31.89,30.06,,,,30.974998,0,550,190.39,100025122,
2016-02-04 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.64,28.05,,,,28.845,0,1253,190.39,100025120,
2016-02-04 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.21,30.37,,,,31.29,0,550,190.39,100025122,
2016-02-05 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,31.01,29.55,29.2,29.81,29.2,30.279999,7,1253,190.39,100025120,
2016-02-05 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,33.63,32.02,,,,32.825,0,550,190.39,100025122,
2016-02-08 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,32.89,31.17,,,,32.03,0,1248,190.39,100025120,
2016-02-08 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,35.66,33.75,35.95,35.95,35.95,34.705,1,550,190.39,100025122,
2016-02-09 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,33.15,31.31,,,,32.23,0,1248,190.39,100025120,
2016-02-09 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,35.92,33.95,35.5,35.5,34.95,34.934998,22,550,190.39,100025122,
2016-02-10 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,33.38,31.59,,,,32.485,0,1248,190.39,100025120,
2016-02-10 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,36.18,34.3,34.25,34.25,33.5,35.239998,4,560,190.39,100025122,
2016-02-11 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,35.04,33.04,33.52,33.52,33.52,34.04,38,1248,190.39,100025120,
2016-02-11 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,37.79,35.79,37.8,37.8,37.0,36.79,9,561,190.39,100025122,
2016-02-12 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,33.15,31.46,33.36,33.36,33.36,32.305,300,1210,190.39,100025120,
2016-02-12 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,35.87,34.0,35.45,35.51,35.15,34.934998,5,561,190.39,100025122,
2016-02-16 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,31.26,30.0,31.5,31.5,30.7,30.630001,9,1510,190.39,100025120,
2016-02-16 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,33.87,32.46,33.5,33.5,33.5,33.165,3,560,190.39,100025122,
2016-02-17 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.59,28.29,29.92,30.14,28.8,28.94,244,1506,190.39,100025120,
2016-02-17 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.09,30.64,31.5,31.5,31.5,31.365,3,560,190.39,100025122,
2016-02-18 00:00:00.0,SPY   181221P00190000,2018-12-21 00:00:00.0,190.0,P,CBOE,A,29.64,28.62,29.1,29.1,28.72,29.130001,204,1680,190.39,100025120,
2016-02-18 00:00:00.0,SPY   181221P00195000,2018-12-21 00:00:00.0,195.0,P,CBOE,A,32.09,31.01,,,,31.55,0,560,190.39,100025122,
