t_date,option_symbol,expiration_date,price_strike,call_put,exchange,style,Ask,Bid,price_open,price_high,price_low,price,iv,preiv,delta,gamma,theta,vega,rho,volume,openinterest,start_date_forward_price,option_id,comment
2009-01-23 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.1,18.4,17.98,18.25,17.9,18.75,0.362143,0.362143,0.654415,0.009532,-0.011132,0.49958,0.707525,126,1140,83.11,,
2009-01-23 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,16.85,16.25,15.8,16.95,15.8,16.55,0.354652,0.354652,0.607582,0.009839,-0.010974,0.516595,0.69873,47,314,83.11,,
2009-01-26 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.7,18.7,19.5,20.17,18.7,19.2,0.363503,0.363503,0.659751,0.009371,-0.011267,0.499873,0.716273,30,1236,83.11,,
2009-01-26 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.25,16.45,17.65,17.65,16.45,16.85,0.353467,0.353467,0.612537,0.009769,-0.011067,0.517115,0.704338,48,360,83.11,,
2009-01-27 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.6,19.25,19.24,19.24,19.24,19.425,0.356596,0.356596,0.665465,0.009421,-0.011234,0.501771,0.730311,2,1263,83.11,,
2009-01-27 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.55,16.8,17.5,17.5,17.5,17.175,0.349416,0.349416,0.618847,0.009742,-0.011099,0.519571,0.716905,22,401,83.11,,
2009-01-28 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,21.85,21.1,21.0,21.0,21.0,21.475,0.359543,0.359543,0.689785,0.00882,-0.011608,0.506167,0.758352,2,1265,83.11,,
2009-01-28 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,19.3,18.85,17.75,19.0,17.7,19.075,0.351733,0.351733,0.644509,0.009179,-0.011506,0.525181,0.75368,373,423,83.11,,
2009-01-29 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,20.05,19.5,20.0,20.0,20.0,19.775,0.362941,0.362941,0.667458,0.009208,-0.011402,0.50035,0.725465,1,1252,83.11,,
2009-01-29 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.85,17.2,18.21,18.21,17.5,17.525002,0.355604,0.355604,0.621625,0.009525,-0.011269,0.518102,0.717204,26,555,83.11,,
2009-01-30 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.25,18.6,20.0,20.0,20.0,18.925,0.369582,0.369582,0.654162,0.009356,-0.011344,0.49591,0.69835,10,1253,83.11,,
2009-01-30 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.0,16.45,17.08,17.15,16.8,16.725,0.361572,0.361572,0.607964,0.009659,-0.011165,0.510442,0.688467,122,567,83.11,,
2009-02-02 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,18.7,18.3,18.4,19.0,17.75,18.5,0.364134,0.364134,0.650449,0.009549,-0.011225,0.491618,0.695911,16,1263,83.11,,
2009-02-02 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,16.75,16.05,16.0,16.4,16.0,16.4,0.358005,0.358005,0.60437,0.009806,-0.011087,0.504141,0.684254,64,464,83.11,,
2009-02-03 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.35,18.95,,,,19.150002,0.36111,0.36111,0.660304,0.009398,-0.011334,0.497913,0.716935,0,1274,83.11,,
2009-02-03 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.25,16.65,,,,16.95,0.354129,0.354129,0.614087,0.009705,-0.011198,0.515007,0.703814,0,511,83.11,,
2009-02-04 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.3,18.8,19.95,19.95,19.02,19.05,0.36444,0.36444,0.657656,0.00937,-0.011381,0.495999,0.712519,7,1274,83.11,,
2009-02-04 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.0,16.55,17.7,17.7,17.0,16.775,0.355507,0.355507,0.611042,0.00973,-0.011199,0.513633,0.69797,6,511,83.11,,
2009-02-05 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,20.25,19.45,20.02,20.02,20.02,19.85,0.364532,0.364532,0.66789,0.009149,-0.01151,0.498321,0.72525,1,1277,83.11,,
2009-02-05 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,17.65,17.2,16.42,17.54,16.42,17.425,0.353731,0.353731,0.620953,0.009566,-0.011295,0.516505,0.715115,120,508,83.11,,
2009-02-06 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,22.45,20.3,21.0,21.15,21.0,21.375,0.362535,0.362535,0.687468,0.008766,-0.011747,0.502474,0.751374,6,1278,83.11,,
2009-02-06 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,19.2,18.75,17.93,18.7,17.93,18.975,0.354241,0.354241,0.642456,0.009142,-0.011639,0.521205,0.744687,12,578,83.11,,
2009-02-09 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,21.8,21.1,21.22,21.22,21.22,21.45,0.363825,0.363825,0.688065,0.008747,-0.01178,0.501842,0.747862,5,1277,83.11,,
2009-02-09 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,19.3,18.7,18.9,19.0,18.9,19.0,0.35464,0.35464,0.64281,0.009148,-0.011655,0.521005,0.743102,3,578,83.11,,
2009-02-10 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.1,18.55,18.68,18.68,18.68,18.825,0.363602,0.363602,0.655188,0.009445,-0.011385,0.494326,0.703157,5,1282,83.11,,
2009-02-10 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,16.85,16.6,18.7,18.7,16.6,16.725,0.357987,0.357987,0.609486,0.009695,-0.011263,0.511297,0.694734,54,580,83.11,,
2009-02-11 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.05,18.6,18.6,18.6,18.6,18.825,0.356736,0.356736,0.65786,0.009549,-0.011314,0.495495,0.711881,1,1285,83.11,,
2009-02-11 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,16.7,16.3,16.1,16.1,16.1,16.5,0.347393,0.347393,0.609869,0.00993,-0.011108,0.513716,0.705383,5,627,83.11,,
2009-02-12 00:00:00.0,OBMLB,2011-12-17 00:00:00.0,80.0,C,CBOE,A,19.15,18.55,18.1,18.1,17.55,18.849998,0.35738,0.35738,0.657968,0.009545,-0.011319,0.495625,0.711945,38,1286,83.11,,
2009-02-12 00:00:00.0,OBMLG,2011-12-17 00:00:00.0,85.0,C,CBOE,A,16.8,16.25,15.9,16.15,15.1,16.525,0.348027,0.348027,0.609992,0.009921,-0.01111,0.513653,0.702037,371,632,83.11,,
